source,direction,category,code,description,count,normalized_code,category_group
Профстандарт,Архитектор программного обеспечения,6.003,6.003,Контроль реализации и испытаний интегрированного программного обеспечения с точки зрения архитектуры,1.0,6.003,Архитектура и интеграция
Профстандарт,Архитектор программного обеспечения,6.003,6.003,Сопровождение эксплуатации интегрированного программного обеспечения с точки зрения архитектуры,6.003,Проектирование / архитектура ПО,
Профстандарт,Системный аналитик,6.022,6.022,Сбор исходных данных для проектирования системы из установленных при обследовании текущей ситуации источников информации,1.0,6.022,Анализ и системное проектирование
Профстандарт,Системный аналитик,6.022,6.022,"Изучение и описание деятельности, подлежащей автоматизации, и работы пользователей в системах-аналогах",1.0,6.022,Анализ и системное проектирование
Профстандарт,Системный аналитик,6.022,6.022,Изучение и описание устройства и работы систем-аналогов,1.0,6.022,Анализ и системное проектирование
Профстандарт,Системный аналитик,6.022,6.022,Извлечение и описание образцов данных и агрегированных значений из систем-аналогов,1.0,6.022,Анализ и системное проектирование
Профстандарт,Системный аналитик,6.022,6.022,"Оформление проектной и эксплуатационной документации в рамках обследования текущей ситуации, проектирования и сдачи-приемки системы",1.0,6.022,Анализ и системное проектирование
Профстандарт,Системный аналитик,6.022,6.022,"Постановка задачи на приобретение, разработку, доработку или интеграцию элемента поставки, разработка требований к нему",1.0,6.022,Анализ и системное проектирование
Профстандарт,Системный аналитик,6.022,6.022,Сопровождение разработанных требований и проектных решений,1.0,6.022,Анализ и системное проектирование
Профстандарт,Системный аналитик,6.022,6.022,Выполнение предварительных испытаний разработанного или интегрированного элемента поставки насоответствие разработанным требованиям к нему,1.0,6.022,Анализ и системное проектирование
Профстандарт,Системный аналитик,6.022,6.022,Разработка эксплуатационной документации по системе в рамках надзора за реализацией требований к элементу поставки,1.0,6.022,Анализ и системное проектирование
Профстандарт,Системный аналитик,6.022,6.022,"Выделение и систематизация установленных фактов, требований и проектных решений, открытых вопросов и противоречий на основе изучения и анализа собранных квалифик",1.0,6.022,Анализ и системное проектирование
Профстандарт,Системный аналитик,6.022,6.022,Логическое проектирование системы,1.0,6.022,Анализ и системное проектирование
